Order ID,Order Date,Ship Date,Country,Segment,Product,Sales,Profit,Discount,Quantity,Year,Month,Day
1001,2022-01-01,2022-01-03,Canada,Corporate,Accessories,2643.26,1148.94,0.22,9,2022,1,1
1002,2022-01-02,2022-01-04,Australia,Corporate,Laptop,3419.96,-207.13,0.42,3,2022,1,2
1003,2022-01-03,2022-01-05,UK,Corporate,Accessories,1628.13,1165.86,0.13,7,2022,1,3
1004,2022-01-04,2022-01-06,Australia,Home Office,Accessories,3892.56,580.59,0.21,8,2022,1,4
1005,2022-01-05,2022-01-07,Australia,Consumer,Phone,3887.32,1189.33,0.02,2,2022,1,5
1006,2022-01-06,2022-01-08,USA,Home Office,Phone,2654.35,362.6,0.22,6,2022,1,6
1007,2022-01-07,2022-01-09,UK,Consumer,Accessories,4882.47,258.08,0.29,8,2022,1,7
1008,2022-01-08,2022-01-10,UK,Home Office,Accessories,715.2,1330.12,0.29,7,2022,1,8
1009,2022-01-09,2022-01-11,UK,Corporate,Accessories,183.04,2.34,0.17,3,2022,1,9
1010,2022-01-10,2022-01-12,Australia,Consumer,Phone,3873.78,1188.42,0.16,1,2022,1,10
1011,2022-01-11,2022-01-13,Canada,Consumer,Accessories,4055.06,468.04,0.05,6,2022,1,11
1012,2022-01-12,2022-01-14,UK,Home Office,Accessories,689.02,528.19,0.18,8,2022,1,12
1013,2022-01-13,2022-01-15,Australia,Home Office,Printer,1401.36,116.94,0.05,6,2022,1,13
1014,2022-01-14,2022-01-16,USA,Consumer,Laptop,186.01,646.08,0.38,5,2022,1,14
1015,2022-01-15,2022-01-17,Canada,Home Office,Tablet,1537.21,150.42,0.48,8,2022,1,15
1016,2022-01-16,2022-01-18,USA,Home Office,Laptop,3888.4,-421.46,0.49,2,2022,1,16
1017,2022-01-17,2022-01-19,Canada,Home Office,Printer,2638.01,44.0,0.43,1,2022,1,17
1018,2022-01-18,2022-01-20,Australia,Corporate,Tablet,1805.67,-487.24,0.3,1,2022,1,18
1019,2022-01-19,2022-01-21,India,Corporate,Accessories,1921.52,1456.71,0.35,4,2022,1,19
1020,2022-01-20,2022-01-22,Canada,Home Office,Printer,106.63,1431.49,0.14,6,2022,1,20
1021,2022-01-21,2022-01-23,USA,Home Office,Accessories,1569.02,290.31,0.32,9,2022,1,21
1022,2022-01-22,2022-01-24,Australia,Corporate,Phone,3267.65,956.74,0.23,1,2022,1,22
1023,2022-01-23,2022-01-25,Canada,Corporate,Printer,4873.55,191.61,0.24,1,2022,1,23
1024,2022-01-24,2022-01-26,India,Consumer,Phone,4250.6,842.19,0.38,5,2022,1,24
1025,2022-01-25,2022-01-27,India,Consumer,Printer,215.62,1110.86,0.14,5,2022,1,25
1026,2022-01-26,2022-01-28,UK,Corporate,Printer,4502.95,1393.51,0.16,5,2022,1,26
1027,2022-01-27,2022-01-29,UK,Home Office,Phone,3937.67,300.42,0.46,6,2022,1,27
1028,2022-01-28,2022-01-30,USA,Home Office,Tablet,3923.84,1066.6,0.03,8,2022,1,28
1029,2022-01-29,2022-01-31,Canada,Home Office,Laptop,2344.18,31.86,0.24,3,2022,1,29
1030,2022-01-30,2022-02-01,Canada,Home Office,Accessories,2050.23,1480.66,0.46,9,2022,1,30
1031,2022-01-31,2022-02-02,UK,Consumer,Printer,1584.29,-448.46,0.31,1,2022,1,31
1032,2022-02-01,2022-02-03,Canada,Corporate,Accessories,421.9,707.06,0.27,4,2022,2,1
1033,2022-02-02,2022-02-04,Canada,Home Office,Phone,1218.35,819.01,0.12,9,2022,2,2
1034,2022-02-03,2022-02-05,India,Consumer,Accessories,1308.36,876.09,0.17,8,2022,2,3
1035,2022-02-04,2022-02-06,UK,Home Office,Phone,2471.98,-259.22,0.43,9,2022,2,4
1036,2022-02-05,2022-02-07,Australia,Corporate,Accessories,3762.48,1377.06,0.28,1,2022,2,5
1037,2022-02-06,2022-02-08,UK,Consumer,Laptop,2421.67,-137.63,0.26,9,2022,2,6
1038,2022-02-07,2022-02-09,Australia,Corporate,Laptop,383.44,745.51,0.05,3,2022,2,7
1039,2022-02-08,2022-02-10,India,Corporate,Laptop,4793.17,-54.65,0.01,9,2022,2,8
1040,2022-02-09,2022-02-11,USA,Consumer,Laptop,4719.35,114.43,0.48,1,2022,2,9
1041,2022-02-10,2022-02-12,Canada,Consumer,Laptop,3947.43,592.92,0.19,1,2022,2,10
1042,2022-02-11,2022-02-13,India,Consumer,Laptop,4957.51,334.39,0.3,9,2022,2,11
